Draw,Date,Winning Number 1,2,3,4,5,6,7,Powerball ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Division 8 Winners,Division 8 Prize,Division 9 Winners,Division 9 Prize
1312,2021-07-08,7,8,9,15,17,19,32,6,"17,19",8,5,2,3,3,0,1,0,0,2,103425.35,20,6320.45,528,435.3,1104,156.15,15991,69.7,21900,39.9,98923,17.45,278065,10.85
1311,2021-07-01,11,13,16,17,18,19,20,15,13,,4,3,0,7,0,0,1,60000000,24,36838.9,110,4911.85,2225,441.5,4310,170.95,64439,73.95,86727,43.05,411625,17.9,1194660,10.8
1310,2021-06-24,8,13,21,28,30,31,33,15,13,,4,3,1,1,3,2,0,0,3,211397.95,67,5784.5,1393,505.85,3174,166.5,45595,74.95,60448,44.3,287523,18.4,832427,11.15
1309,2021-06-17,4,10,12,13,20,26,34,1,13,,1,6,2,3,1,1,0,0,6,69991.3,67,3830.35,1127,414.05,2021,173.15,29752,76.05,41574,42.65,186696,18.75,537297,11.4
1308,2021-06-10,2,13,15,24,25,32,35,16,,,4,3,1,2,2,2,0,0,3,88958,36,4530.25,621,477.5,1227,181.25,18275,78.7,23575,47.8,115522,19.25,343660,11.35
1307,2021-06-03,1,11,12,14,17,19,28,11,12,,4,3,1,5,1,0,0,0,1,202037.5,31,3982.8,595,377.3,1188,141.7,17809,61.15,20905,40.8,106919,15.75,293061,10.05
1306,2021-05-27,2,5,6,10,12,24,25,20,"2,5",,2,5,4,1,2,0,1,9738691.4,8,36163.35,37,4778.35,858,374.65,1593,151.35,22615,68.95,30930,39.5,136973,17.6,388449,10.9
1305,2021-05-20,2,5,7,8,11,14,18,19,"5,7,8,11",,3,4,4,3,0,0,0,0,3,70530.6,47,2751.2,828,283.95,1435,122.9,20048,56.9,26155,34.15,114444,15.4,304015,10.15
1304,2021-05-13,5,7,8,11,12,19,25,20,25,,5,2,3,3,1,0,1,30000000,5,109132.7,87,3832.9,1801,336.65,3103,146.55,44803,65.65,63461,36.3,269066,16.9,747099,10.65
1303,2021-05-06,10,14,16,21,23,25,34,9,"10,14,23",,3,4,1,2,3,1,0,0,3,140955.1,58,4455.5,935,502.5,2062,170.9,29767,76.55,39984,44.65,191027,18.45,565613,10.9
1302,2021-04-29,3,10,14,15,23,30,35,15,"10,35",,4,3,2,2,2,1,0,0,0,0,35,12872.2,656,473.65,1402,166.2,20819,72.4,26080,45.25,128975,18.05,365473,11.2
1301,2021-04-22,10,17,19,21,26,31,35,1,"17,19",,5,2,1,2,2,2,2,40000000,43,31384.25,159,5186.85,3271,458.4,6468,173.85,96562,75.3,128444,44.35,608790,18.45,1760762,11.2
1300,2021-04-15,1,5,9,12,17,19,24,3,"12,24",,5,2,3,3,1,0,0,0,6,120658.25,100,4424.15,2041,394.1,4024,149.9,57279,68.1,76859,39.75,349236,17.25,986024,10.75
1299,2021-04-08,3,4,12,13,14,21,24,6,13,,3,4,2,3,2,0,0,0,2,238410.45,56,5203.4,1067,496.55,2421,164.15,35037,73.35,45937,43.85,220600,18,641645,10.85
